Model,Precision@20,Recall@20,Hit-rate
Random,0.12662696724797962,0.5065078689919185,0.02467035304125904
Frequency,0.12809442790301998,0.5123777116120799,0.02552105487026797
XGBoost,0.12705231816248405,0.5082092726499362,0.022968949383241174
TabM,0.12705231816248405,0.5082092726499362,0.022968949383241174
