experiment,parameter,variable,actual,top5,hit5,p_actual,neg_log_prob,brier
temperature_scaling,temp=2.0,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05063462874824215,2.9831195741445433,0.9472505217320552
temperature_scaling_backtest,temp=2.0,QS_1,backtest,,0.4684931506849315,46.849315068493155,0.0,0.0
temperature_scaling_backtest,temp=2.0,QS_2,backtest,,0.25753424657534246,25.753424657534246,0.0,0.0
temperature_scaling_backtest,temp=2.0,QS_3,backtest,,0.25205479452054796,25.205479452054796,0.0,0.0
temperature_scaling_backtest,temp=2.0,QS_4,backtest,,0.2876712328767123,28.767123287671232,0.0,0.0
temperature_scaling_backtest,temp=2.0,QS_5,backtest,,0.5013698630136987,50.136986301369866,0.0,0.0
boost_value_23,boost=1.0x,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.12115664883411238,2.110670952217566,0.8275485938587003
boost_value_23,boost=1.0x,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04067773227568714,3.2020744547910316,0.9601195267294104
boost_value_23,boost=1.0x,QS_3,17,"[17, 18, 19, 21, 24]",1.0,0.05172553845359594,2.9618036454753573,0.9341022194876893
boost_value_23,boost=1.0x,QS_4,23,"[28, 32, 34, 31, 30]",0.0,0.04675642593272245,3.062803579586891,0.9482561670089196
boost_value_23,boost=1.0x,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05284166986630404,2.940455197512744,0.9726355203530507
boost_value_23,boost=1.5x,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.12082247792469071,2.1134329352558083,0.8278701224600975
boost_value_23,boost=1.5x,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.040238820456900234,3.2129230663215655,0.9606892686639332
boost_value_23,boost=1.5x,QS_3,17,"[23, 17, 18, 19, 21]",1.0,0.050604782691763384,2.983709187555346,0.9370813719088011
boost_value_23,boost=1.5x,QS_4,23,"[23, 28, 32, 34, 31]",1.0,0.06853247216959175,2.6804475997669823,0.9054267934804237
boost_value_23,boost=1.5x,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.0526032142995573,2.94497805274891,0.9725089960425873
boost_value_23,boost=2.0x,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.12049014534670742,2.11618731075083,0.828205859240673
boost_value_23,boost=2.0x,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.039809279227027546,3.2236552474584177,0.9614718043604521
boost_value_23,boost=2.0x,QS_3,17,"[23, 17, 18, 19, 21]",1.0,0.049531564548086625,3.005145144992999,0.9407693016450314
boost_value_23,boost=2.0x,QS_4,23,"[23, 28, 32, 34, 31]",1.0,0.08933582784755237,2.4153526638626173,0.8654348993903377
boost_value_23,boost=2.0x,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05236690119411214,2.949480543835133,0.9724262074854317
boost_value_23,boost=3.0x,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.11983093483917132,2.121673405939762,0.8289189693378647
boost_value_23,boost=3.0x,QS_2,5,"[23, 11, 13, 10, 9]",0.0,0.038977133275726605,3.244780131072373,0.9636209440878888
boost_value_23,boost=3.0x,QS_3,17,"[23, 17, 18, 19, 21]",1.0,0.0475161353395693,3.0466859342642354,0.9499028592112663
boost_value_23,boost=3.0x,QS_4,23,"[23, 28, 32, 34, 31]",1.0,0.12827400936246816,2.053586604947771,0.7930085917444792
boost_value_23,boost=3.0x,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05190058789884614,2.958425161343696,0.9723872451722458
boost_value_23,boost=5.0x,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.11853391914096112,2.1325561218886167,0.8305050475629894
boost_value_23,boost=5.0x,QS_2,5,"[23, 11, 13, 10, 9]",0.0,0.03741302086556857,3.285736483666526,0.9699207162921306
boost_value_23,boost=5.0x,QS_3,17,"[23, 17, 18, 19, 21]",1.0,0.043940292360935135,3.1249235584079553,0.9731992777379275
boost_value_23,boost=5.0x,QS_4,23,"[23, 28, 32, 34, 31]",1.0,0.19694782423735363,1.6248164369105615,0.6729850696311281
boost_value_23,boost=5.0x,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05099243973411413,2.976077897754087,0.9727853004682524
boost_value_23,boost=10.0x,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.11541098068814706,2.159255776158086,0.8353196220408464
boost_value_23,boost=10.0x,QS_2,5,"[23, 11, 13, 10, 9]",0.0,0.034001870345600815,3.3813397457142496,0.9938942906675126
boost_value_23,boost=10.0x,QS_3,17,"[23, 17, 18, 19, 21]",1.0,0.036982471147195176,3.2973112313727246,1.0445242632308356
boost_value_23,boost=10.0x,QS_4,23,"[23, 28, 32, 34, 31]",1.0,0.3290833906863747,1.1114440932022935,0.4697372382890731
boost_value_23,boost=10.0x,QS_5,32,"[38, 39, 37, 23, 36]",0.0,0.048855284881962634,3.0188927204297147,0.9761931788457222
blend_with_analytical,analytical_weight=0.0,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.12115664883411238,2.110670952217566,0.8275485938587003
blend_with_analytical,analytical_weight=0.0,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04067773227568714,3.2020744547910316,0.9601195267294104
blend_with_analytical,analytical_weight=0.0,QS_3,17,"[17, 18, 19, 21, 24]",1.0,0.05172553845359594,2.9618036454753573,0.9341022194876893
blend_with_analytical,analytical_weight=0.0,QS_4,23,"[28, 32, 34, 31, 30]",0.0,0.04675642593272245,3.062803579586891,0.9482561670089196
blend_with_analytical,analytical_weight=0.0,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05284166986630404,2.940455197512744,0.9726355203530507
blend_with_analytical,analytical_weight=0.1,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.1218614967766211,2.104870151481427,0.8265548116086912
blend_with_analytical,analytical_weight=0.1,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04076726847310564,3.1998757628476264,0.9600737928051929
blend_with_analytical,analytical_weight=0.1,QS_3,17,"[17, 18, 19, 21, 22]",1.0,0.05136751575012218,2.9687492956076684,0.934913779627615
blend_with_analytical,analytical_weight=0.1,QS_4,23,"[28, 32, 31, 34, 30]",0.0,0.046360366580142434,3.0713103532911488,0.9491376928289412
