variable,actual,tp_top5,tp_hit5,tp_p_actual,tp_nlp,tp_brier,an_top5,an_hit5,an_p_actual,an_nlp,an_brier
QS_1,1,"[1, 4, 2, 3, 5]",1,0.12115664883411238,2.110670952217566,0.8275485938587003,"[1, 2, 3, 4, 5]",1,0.12820512820512822,2.054123733695546,0.8186961921297763
QS_2,5,"[11, 13, 10, 9, 8]",0,0.04067773227568714,3.2020744547910316,0.9601195267294104,"[10, 11, 9, 12, 8]",0,0.04157309420467315,3.1803020948895306,0.9599171453808044
QS_3,17,"[17, 18, 19, 21, 24]",1,0.05172553845359594,2.9618036454753573,0.9341022194876893,"[20, 19, 21, 18, 22]",0,0.04814531130320604,3.033531522359895,0.9424328070944614
QS_4,23,"[28, 32, 34, 31, 30]",0,0.04675642593272245,3.062803579586891,0.9482561670089196,"[30, 29, 31, 28, 32]",0,0.04279583226951648,3.1513145580162782,0.9574716692511178
QS_5,32,"[38, 39, 37, 36, 35]",0,0.05284166986630404,2.940455197512744,0.9726355203530507,"[39, 38, 37, 36, 35]",0,0.054649791491896756,2.9068098797027004,0.9658068655562393
